道具ID,中文名,舊合成表,俄文名,英文名,品質,來源,可靠度,備註
tmsc,雷霆戰斧,雷霆战斧,Гром-секира,Thunder Axe,神器（lv.4）,A 沿用舊合成表,高 — 玩家實際用的名字,
crys,月光寶劍,月光宝剑,Разящий полумесяц,Striking Crescent,神器（lv.5）,A 沿用舊合成表,高 — 玩家實際用的名字,
mnsf,水晶項鍊,水晶项链,Кристаллическое ожерелье,Crystalline Necklace,神器（lv.5）,A 沿用舊合成表,高 — 玩家實際用的名字,
rat3,永恆聖木,,Калигнум Эонис,Calignum Aeonis,神器（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
spre,泰坦神拳,泰坦神拳,Кулак титана,Titan's Fist,神器（lv.5）,A 沿用舊合成表,高 — 玩家實際用的名字,
ofro,獅子星座,狮子星座,Созвездие,Constellation,神器（lv.5）,A 沿用舊合成表,高 — 玩家實際用的名字,
modt,王國宙斯盾,王国宙斯盾,Эгида королей,Aegis of Kings,神器（lv.5）,A 沿用舊合成表,高 — 玩家實際用的名字,
axas,鋼鐵奉獻,钢铁奉献,Стальное посвящение,Steel Devotion,神器（lv.5）,A 沿用舊合成表,高 — 玩家實際用的名字,
hcun,侍僧之褲,,Штаны адепта,Adept's Trousers,稀有,C 我從俄文翻譯,低 — 沒有官方依據,
cnob,堅固盾牌,,Прочный щит,Sturdy Shield,稀有,C 我從俄文翻譯,低 — 沒有官方依據,
rhth,士兵之靴,,Сапоги солдата,Soldier's Boots,稀有,C 我從俄文翻譯,低 — 沒有官方依據,
rat9,強力力量戒指,,Мощное кольцо силы,Potent Ring of Strength,稀有,C 我從俄文翻譯,低 — 沒有官方依據,
ratc,強力敏捷戒指,,Мощное кольцо ловкости,Potent Ring of Agility,稀有,C 我從俄文翻譯,低 — 沒有官方依據,
rat6,強力智力戒指,,Мощное кольцо разума,Potent Ring of Intellect,稀有,C 我從俄文翻譯,低 — 沒有官方依據,
dsum,強化手套,,Укрепленные перчатки,Reinforced Gloves,稀有,C 我從俄文翻譯,低 — 沒有官方依據,
penr,板甲,,Латный доспех,Plate Armor,稀有,C 我從俄文翻譯,低 — 沒有官方依據,
pmna,磨利短刀,,Заточенные ножи,Sharpened Knives,稀有,C 我從俄文翻譯,低 — 沒有官方依據,
spsh,鋸齒斧,,Зазубренный топор,Jagged Axe,稀有,C 我從俄文翻譯,低 — 沒有官方依據,
ward,魔法項鍊,,Магическое ожерелье,Magic Necklace,稀有,C 我從俄文翻譯,低 — 沒有官方依據,
I01F,智慧符文,,Руна мудрости,Rune of Wisdom,符文,C 我從俄文翻譯,低 — 沒有官方依據,
I01G,腐化符文,,Руна скверны,Rune of Corruption,符文,C 我從俄文翻譯,低 — 沒有官方依據,
I01E,血之符文,,Руна крови,Rune of Blood,符文,C 我從俄文翻譯,低 — 沒有官方依據,
I01D,貪婪符文,,Руна алчности,Rune of Greed,符文,C 我從俄文翻譯,低 — 沒有官方依據,
I00E,星界耳環,,Астральные серьги,Astral Earrings,耳環,C 我從俄文翻譯,低 — 沒有官方依據,
I00P,紅寶石耳環,,Рубиновые серьги,Ruby Earrings,耳環,C 我從俄文翻譯,低 — 沒有官方依據,
I00F,翡翠耳環,,Изумрудные серьги,Emerald Earrings,耳環,C 我從俄文翻譯,低 — 沒有官方依據,
I00Q,藍寶石耳環,,Сапфировые серьги,Sapphire Earrings,耳環,C 我從俄文翻譯,低 — 沒有官方依據,
I00O,黃金耳環,,Золотые серьги,Golden Earrings,耳環,C 我從俄文翻譯,低 — 沒有官方依據,
I029,不詳之盾,不详之盾,Зловещий щит,Ominous Shield,聖物,A 沿用舊合成表,高 — 玩家實際用的名字,
I028,信仰之錘,信仰之锤,Молот веры,Hammer of Faith,聖物,A 沿用舊合成表,高 — 玩家實際用的名字,
I00T,瓊漿玉液,琼浆玉液,Амброзия,Ambrosia,聖物,A 沿用舊合成表,高 — 玩家實際用的名字,
I03D,穿刺長矛,穿刺长矛,Разящее копьё,Striking Spear,聖物,A 沿用舊合成表,高 — 玩家實際用的名字,
kysn,低語觸手,,Шепчущее щупальце,Whispering Tentacle,萬聖節,C 我從俄文翻譯,低 — 沒有官方依據,
bzbe,吞噬之盾,,Пожирающий щит,Devouring Shield,萬聖節,C 我從俄文翻譯,低 — 沒有官方依據,
sehr,吸血之球,,Сфера вампиризма,Sphere of Vampirism,萬聖節,C 我從俄文翻譯,低 — 沒有官方依據,
bzbf,女巫的詛咒,,Проклятия ведьмы,Witch's Curses,萬聖節,C 我從俄文翻譯,低 — 沒有官方依據,
azhr,女巫的贈禮,,Дары ведьмы,Witch's Gifts,萬聖節,C 我從俄文翻譯,低 — 沒有官方依據,
cnhn,幽魂之刃,,Призрачный клинок,Spectral Blade,萬聖節,C 我從俄文翻譯,低 — 沒有官方依據,
ches,恐懼之握,,Хватка ужаса,Grip of Terror,萬聖節,C 我從俄文翻譯,低 — 沒有官方依據,
sor8,悲慟之刃,,Лезвие скорби,Blade of Sorrow,萬聖節,C 我從俄文翻譯,低 — 沒有官方依據,
sor7,惡靈匣,,Шкатулка Диббука,Dybbuk Box,萬聖節,C 我從俄文翻譯,低 — 沒有官方依據,
sor9,普巴金剛橛,,Пхурба Кила,Phurba Kila,萬聖節,C 我從俄文翻譯,低 — 沒有官方依據,
sclp,血之貢品,,Кровавая дань,Blood Tribute,萬聖節,C 我從俄文翻譯,低 — 沒有官方依據,
jpnt,靈魂之石,,Камень душ,Soul Stone,萬聖節,C 我從俄文翻譯,低 — 沒有官方依據,
rots,儀式面具,,Ритуальная маска,Ritual Mask,附加,C 我從俄文翻譯,低 — 沒有官方依據,
amrc,希望護符,,Амулет надежды,Amulet of Hope,附加,C 我從俄文翻譯,低 — 沒有官方依據,
gobm,戰旗,,Боевое знамя,Battle Banner,附加,C 我從俄文翻譯,低 — 沒有官方依據,
btst,戰鬥號角,,Рог битвы,Horn of Battle,附加,C 我從俄文翻譯,低 — 沒有官方依據,
stwa,符文手環,,Рунные браслеты,Runed Bracers,附加,C 我從俄文翻譯,低 — 沒有官方依據,
brag,閃現,,Блинк,Blink,附加,C 我從俄文翻譯,低 — 沒有官方依據,
srtl,閃電法杖,,Жезл молний,Wand of Lightning,附加,C 我從俄文翻譯,低 — 沒有官方依據,
uflg,魔咒法杖,,Посох чар,Staff of Charms,附加,C 我從俄文翻譯,低 — 沒有官方依據,
soul,魔法寶珠,魔法宝珠,Магическая сфера,Magic Sphere,附加,A 沿用舊合成表,高 — 玩家實際用的名字,
olig,鶴嘴鎬,,Кирка,Pickaxe,附加,C 我從俄文翻譯,低 — 沒有官方依據,
